source,target
17,109
17,1039
17,940
17,186
17,1233
17,468
17,140
17,73
17,675
17,138
17,1238
17,739
17,1083
17,1055
17,527
17,1101
17,1214
17,722
17,595
17,1137
17,27
17,1239
17,1248
17,1045
17,1089
17,88
17,308
17,886
17,1221
17,113
17,37
17,221
17,1259
17,3
17,1153
17,873
17,1244
17,769
17,871
17,51
17,832
17,1147
17,68
17,86
17,30
17,1175
17,2
17,1138
17,1129
17,666
17,435
17,1267
17,1163
17,1027
17,733
17,1279
17,727
17,1043
17,143
17,492
17,1102
17,1078
17,142
17,410
17,670
17,655
17,202
17,1310
17,34
17,1125
17,851
17,1048
17,18
17,819
17,1126
17,288
17,58
17,330
17,473
17,332
17,36
17,1132
17,305
17,97
17,1097
17,676
17,196
17,1072
17,131
17,122
17,1141
17,1262
17,110
17,1151
17,1320
17,1111
17,1337
17,1034
17,133
17,407
17,1156
17,1338
17,1241
17,1131
17,760
17,686
17,337
17,1306
17,179
17,53
17,879
17,1116
17,1124
17,1085
17,162
17,1092
17,749
17,574
17,649
17,336
17,1336
17,1185
17,1253
17,44
17,1084
17,193
17,322
17,125
17,404
17,413
17,1032
17,531
17,701
17,1071
17,1075
17,826
17,448
17,1654
17,2084
17,217
17,938
17,471
17,561
17,446
17,287
17,1424
17,349
17,774
17,530
17,1431
17,450
17,551
17,1496
17,159
17,757
17,174
17,1054
17,127
17,664
17,303
17,195
17,1035
17,1157
17,286
17,1464
17,1284
17,904
17,464
17,1161
17,1490
17,1437
17,1080
17,1155
17,1154
17,944
17,381
17,809
17,421
17,98
17,1261
17,1243
17,169
17,1135
17,586
17,714
17,1513
17,351
17,1037
17,1044
17,1515
17,1012
17,1090
17,1106
17,447
17,1042
17,1270
17,1526
17,267
17,457
17,442
17,593
17,112
17,692
17,748
17,754
17,853
17,240
17,1022
17,1065
17,1235
17,1046
17,1057
17,298
17,1070
17,119
17,1064
17,1121
17,1062
17,1140
17,1056
17,1162
17,1109
17,591
17,1051
17,1108
17,823
17,1029
17,1209
17,225
17,1086
17,374
17,1067
17,2098
17,1924
17,1206
17,1387
17,1427
17,2435
17,2083
17,1107
17,1281
17,1397
17,1328
17,1314
17,1242
17,118
17,1417
17,1210
17,1422
17,1425
17,1441
17,1442
17,547
17,1269
3,85
3,7
3,158
3,50
3,105
3,107
3,241
3,273
3,96
3,36
3,8
3,84
3,95
3,2
3,432
3,27
3,216
3,4
3,11
3,52
3,43
3,132
3,69
85,371
85,109
85,127
85,44
85,2
85,217
85,169
85,14
85,51
85,131
85,580
85,97
85,86
85,53
85,37
85,70
85,58
85,179
85,174
85,446
85,330
85,287
85,1026
85,88
85,1431
85,159
85,142
85,2098
85,342
85,739
216,401
216,397
216,127
216,1237
216,1240
216,1257
216,1260
216,314
216,1274
216,1282
216,1222
216,1285
216,1219
216,1100
216,1159
216,37
216,525
216,1308
216,327
216,562
216,1052
216,1110
216,88
216,1326
216,44
216,573
216,1342
216,1348
216,598
216,1354
216,1213
216,300
216,108
216,426
216,1367
216,2059
216,1369
216,2106
216,1148
216,287
216,1465
216,1470
216,1484
216,1485
216,1503
216,1505
216,1036
216,1189
216,1522
216,411
216,646
216,875
216,1118
216,1139
216,1182
216,1216
216,1218
216,109
216,2017
216,2172
216,2454
216,2128
216,1384
216,1386
216,1407
216,1423
109,52
109,158
109,8
109,273
109,132
109,241
109,105
109,27
109,50
109,69
109,11
109,107
109,84
109,43
109,36
109,432
109,4
109,7
109,95
109,1529
109,1545
109,1571
109,1537
1039,36
1039,27
1039,4
142,27
142,8
142,96
142,36
142,46
142,2
142,1529
142,4
142,52
142,132
142,7
142,1545
142,1571
142,95
142,50
142,1537
27,225
27,547
27,1129
27,193
27,186
27,1235
27,1080
27,305
27,809
27,574
27,133
27,1032
27,733
27,1243
27,1244
27,1048
27,591
27,30
27,722
27,413
27,18
27,58
27,714
27,473
27,119
27,308
27,1045
27,1269
27,649
27,98
27,410
27,202
27,288
27,117
27,1131
27,938
27,1067
27,1071
27,1055
27,1239
27,174
27,36
27,1037
27,676
27,1261
27,1238
27,1153
27,826
27,1084
27,287
27,337
27,1157
27,1281
27,1248
27,88
27,1022
27,138
27,1072
27,1111
27,97
27,110
27,349
27,1092
27,749
27,2
27,1306
27,351
27,37
27,686
27,1043
27,407
27,769
27,322
27,670
27,1267
27,1097
27,53
27,464
27,879
27,1054
27,336
27,169
27,450
27,1279
27,832
27,86
27,1262
27,1141
27,1086
27,1090
27,492
27,127
27,1336
27,1065
27,1253
27,760
27,122
27,701
27,531
27,140
27,886
27,1140
27,1320
27,1242
27,1107
27,179
27,330
27,44
27,1083
27,1338
27,940
27,1151
27,1101
27,131
27,1102
27,1221
27,448
27,675
27,1132
27,1116
27,1046
27,757
27,374
27,1328
27,871
27,1259
27,68
27,1156
27,1214
27,221
27,404
27,1615
27,162
27,446
27,1026
27,655
27,303
27,1427
27,34
27,1431
27,551
27,240
27,51
27,1310
27,664
27,143
27,1424
27,195
27,1126
27,1089
27,1042
27,1056
27,1455
27,1185
27,112
27,1138
27,1124
27,586
27,1175
27,267
27,1480
27,819
27,286
27,1337
27,1241
27,595
27,904
27,1161
27,1085
27,1135
27,118
27,1125
27,853
27,113
27,421
27,1051
27,727
27,1078
27,332
27,125
27,944
27,1464
27,1284
27,527
27,375
27,381
27,447
27,442
27,679
27,468
27,73
27,1654
27,217
27,435
27,593
27,1041
27,298
27,1062
27,1064
27,1034
27,1091
27,823
27,1106
27,1108
27,1109
27,1122
27,1075
27,1137
27,1149
27,1155
27,457
27,1163
27,1166
27,1147
27,1070
27,1035
27,561
27,774
27,1210
27,1154
27,851
27,1225
27,2098
27,1840
27,1121
27,873
27,471
27,530
27,2084
27,159
27,1387
27,1029
27,1397
27,1027
27,1206
27,1270
27,1380
27,1314
27,1392
27,196
27,1044
27,1416
27,1012
27,1425
27,1233
27,2083
2,212
2,446
2,50
2,7
2,11
2,107
2,205
2,95
2,555
2,8
